File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_CTRL2_2.raw	125755	8879	9.42862e+09	1047297558092	170098991952	2.112	0.058	2.76472	0.396834	1.17903	1.02003	0.933383	0.0179056	14.167	2.55	0.239
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group4_c-jun_KO_cDDP_06h_3.raw	170647	9806	9.32284e+10	10577917051820	1414055914952	2.509	0.069	2.60805	0.699593	1.41386	1.15316	1	0.0208592	13.989	2.489	0.251
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_CTRL_JNK-IN-8_cDDP_24h_3.raw	200128	9825	5.13157e+10	4869553857423	627813452047	2.31	0.063	2.70756	0.613946	1.19726	1.12593	1	0.0163413	14.113	2.542	0.3
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group4_c-jun_KO_1.raw	185459	9795	6.79176e+10	5277561099821	1016234085049	2.401	0.066	2.04513	0.519455	1.39686	1.12946	0.996307	0.0172039	14.014	2.508	0.305
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_c-jun_KO_cDDP_06h_3.raw	173841	9621	4.17649e+10	4644105906673	664805815107	2.301	0.063	2.47775	0.620249	1.25562	1.19596	1	0.0166142	14.131	2.518	0.261
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_CTRL_JNK-IN-8_cDDP_06h_2.raw	165464	9552	3.11641e+10	3490358488166	501498770301	2.274	0.062	2.82367	0.578803	1.19617	1.11347	1	0.0155394	14.066	2.513	0.246
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_CTRL_cDDP_24h_3.raw	242891	9962	9.16055e+10	8538416477442	1012456077290	2.312	0.063	1.83085	0.612891	1.37917	1.24832	1	0.0143444	14.5	2.591	0.345
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_c-jun_KO_3.raw	202895	9878	8.27642e+10	7472699006202	1087291788614	2.388	0.065	1.78919	0.584786	1.42419	1.17201	1	0.0177229	14.186	2.536	0.296
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_c-jun_KO_1.raw	184835	9606	4.48556e+10	4464848049646	747585951046	2.235	0.061	2.43744	0.596353	1.27503	1.15047	1	0.0163125	14.368	2.556	0.274
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_c-jun_KO_cDDP_24h_1.raw	193213	9614	4.90758e+10	4199839268777	676843542701	2.284	0.063	2.59573	0.557158	1.21994	1.12705	1	0.0164046	14.259	2.56	0.295
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_CTRL_cDDP_24h1_3.raw	124018	9024	1.63558e+10	1801145747804	268458675975	2.211	0.061	2.63903	0.460015	1.06412	0.998065	0.965773	0.0188096	13.505	2.488	0.25
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_CTRL1_3.raw	155677	9427	2.59942e+10	2864928078714	448158447797	2.252	0.062	3.61813	0.56085	1.11261	1.04901	0.999867	0.0188892	14.539	2.579	0.266
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_CTRL_1.raw	201165	9515	2.03766e+10	1860675727129	235009227548	2.09	0.057	2.12318	0.51012	1.37311	1.16319	1	0.0296274	14.309	2.577	0.329
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_CTRL_cDDP_06h_1.raw	185248	9711	5.79851e+10	5925825105719	942738483840	2.307	0.063	2.21417	0.561572	1.17139	1.10866	1	0.0164824	14.251	2.528	0.248
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_c-jun_KO_3.raw	247685	10013	9.21787e+10	8030154181611	1027348692609	2.375	0.065	1.66728	0.621307	1.34075	1.17976	1	0.0144849	14.527	2.593	0.343
